Bee_ID,Species,Date COLLECTED,Plant collected on,Farm,PA,Count,Wing_MM,Counter_Inits,Notes,Treatment
313,bimac,08/03/2021,zinnia,LASA,NA,NA,,RY,Queen? frozen. not counted black film on top,CUT
314,imp,08/03/2021,zinnia,LASA,1,49,,SG,,CUT
315,imp,08/03/2021,zinnia,LASA,1,29,,RY,,CUT
316,imp,08/03/2021,zinnia,LASA,0,0,,RY,,CUT
317,imp,08/03/2021,zinnia,LASA,0,0,,RY,,CUT
318,imp,08/03/2021,zinnia,LASA,1,160,,RY,,CUT
319,imp,08/03/2021,helianthus,LASA,0,0,,SG,,CUT
320,imp,08/03/2021,zinnia,LASA,1,131,,RY,,CUT
321,imp,08/03/2021,zinnia,LASA,1,8,,SG,,CUT
322,imp,08/03/2021,helianthus,LASA,0,0,,RY,old,CUT
323,imp,08/03/2021,zinnia,LASA,0,0,,RY,,CUT
324,imp,08/03/2021,zinnia,LASA,NA,NA,,RY,dead incubator,CUT
325,imp,08/03/2021,zinnia,LASA,0,0,,RY,pollen removed from cobic.,CUT
326,imp,08/03/2021,zinnia,LASA,1,19,,RY,,CUT
327,imp,08/04/2021,zinnia,SIMP,1,128,,RY,c,CON
328,imp,08/04/2021,zinnia,SIMP,1,26,,SG,c,CON
329,imp,08/04/2021,zinnia,SIMP,NA,NA,,NA,dead 8/5/21,CON
330,imp,08/04/2021,zinnia,SIMP,1,29,,SG,crith not moving,CON
331,imp,08/04/2021,zinnia,SIMP,1,18,,SG,larger crith,CON
332,imp,08/04/2021,zinnia,SIMP,1,2,,RY,,CON
333,imp,08/04/2021,zinnia,SIMP,0,0,,RY,,CON
334,imp,08/04/2021,zinnia,SIMP,0,0,,SG,c,CON
335,imp,08/04/2021,zinnia,SIMP,0,0,,SG,,CON
336,imp,08/04/2021,zinnia,SIMP,0,0,,RY,,CON
337,imp,08/04/2021,zinnia,SIMP,0,0,,SG,C,CON
338,imp,08/04/2021,zinnia,SIMP,0,0,,SG,,CON
339,imp,08/04/2021,zinnia,SIMP,0,0,,SG,,CON
340,imp,08/04/2021,zinnia,SIMP,NA,NA,,NA,dead 8/5/21,CON
341,imp,08/04/2021,cosmos,SIMP,1,1,,SG,,CON
342,imp,08/04/2021,zinnia,SIMP,0,0,,SG,,CON
343,imp,08/04/2021,monarda,SIMP,0,0,,RY,,CON
344,imp,08/04/2021,zinnia,SIMP,0,0,,RY,,CON
345,imp,08/04/2021,zinnia,SIMP,NA,NA,,NA,dead 8/5/21,CON
346,imp,08/04/2021,cosmos,SIMP,0,0,,SG,,CON
347,vagans,08/04/2021,zinnia,SIMP,1,24,,SG,C not moving,CON
348,imp,08/04/2021,echinacea,SIMP,0,0,,RY,,CON
349,imp,08/04/2021,echinacea,SIMP,0,0,,RY,,CON
350,imp,08/04/2021,zinnia,SIMP,0,0,,SG,C,CON
351,imp,08/04/2021,zinnia,SIMP,0,0,,SG,,CON
352,imp,08/04/2021,zinnia,SIMP,1,7,,RY,,CON
353,imp,08/04/2021,zinnia,SIMP,0,0,,RY,,CON
354,imp,08/04/2021,zinnia,SIMP,0,0,,SG,,CON
355,imp,08/04/2021,zinnia,SIMP,0,0,,SG,,CON
356,imp,08/04/2021,echinacea,SIMP,0,0,,SG,,CON
357,imp,08/04/2021,zinnia,SIMP,NA,NA,,NA,C different pollen loads? died? ,CON
358,imp,08/04/2021,zinnia,SIMP,0,0,,SG,C,CON
359,imp,08/04/2021,zinnia,SIMP,0,0,,RY,,CON
360,imp,08/04/2021,zinnia,SIMP,1,1,,RY,C,CON
361,imp,08/04/2021,echinacea,SIMP,NA,NA,,NA,dead on 8/5/21,CON
362,imp,08/04/2021,cosmos,SIMP,0,0,,SG,,CON
