bee_ID,sp,Date COLLECTED,j_date,Plant collected on,farm,visit,PA,crit_cnt,log10_cnt,Wing_MM,Hand_Wing,Counter_Inits,Notes,Treatment
248,imp,7/28/2021,2021209,melon,RCON,2,P,151,2.178976947,2.303,,SG,,CON
249,imp,7/28/2021,2021209,melon,RCON,2,P,99,1.995635195,2.524,,RY,,CON
250,imp,7/28/2021,2021209,melon,RCON,2,A,0,0,2.488,,RY,,CON
251,imp,7/28/2021,2021209,melon,RCON,2,NA,NA,NA,NA,,NA,changed numbers,CON
252,imp,7/28/2021,2021209,melon,RCON,2,A,0,0,2.61,,SG,,CON
253,imp,7/28/2021,2021209,melon,RCON,2,A,0,0,2.02,,SG,,CON
254,imp,7/28/2021,2021209,squash,RCON,2,A,0,0,1.856,,SG,,CON
255,imp,7/28/2021,2021209,melon,RCON,2,A,0,0,1.926,,SG,,CON
256,imp,7/28/2021,2021209,melon,RCON,2,P,1,0,3.059,,RY,,CON
257,bimac,7/28/2021,2021209,melon,RCON,2,P,28,1.447158031,2.169,,SG,bimac?,CON
258,imp,7/28/2021,2021209,melon,RCON,2,P,66,1.819543936,2.197,,SG,,CON
259,imp,7/28/2021,2021209,melon,RCON,2,P,17,1.230448921,1.892,,RY,,CON
260,imp,7/28/2021,2021209,melon,RCON,2,P,8,0.903089987,2.138,,SG,,CON
261,imp,7/28/2021,2021209,melon,RCON,2,A,0,0,1.849,,SG,,CON
262,imp,7/28/2021,2021209,melon,RCON,2,A,0,0,2.031,,RY,,CON
263,imp,7/28/2021,2021209,clover,RCON,2,A,0,0,2.308,,RY,,CON
264,imp,7/28/2021,2021209,melon,RCON,2,P,8,0.903089987,2.077,,SG,,CON
265,imp,7/28/2021,2021209,melon,RCON,2,A,0,0,2.084,,SG,,CON
266,imp,7/28/2021,2021209,gomphrena,RCUT,2,P,168,2.225309282,2.518,,RY,,CUT
267,imp,7/28/2021,2021209,gomphrena,RCUT,2,A,0,0,2.391,,RY,,CUT
268,bimac,7/28/2021,2021209,zinnia,RCUT,2,P,268,2.428134794,2.218,,SG,bimac?,CUT
269,imp,7/28/2021,2021209,snapdragon,RCUT,2,P,64,1.806179974,2.486,,SG,,CUT
