date,visit,farm,genus,num_row,row_length,row_cnt,inflr_count,tot_inflr,initials,sf_nsfcut_border,cut_border,row_cover,notes
8/5/2021,2,LAUR,zinnia,1,354,10,15,531,TK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,94,10,42,394.8,TK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,260,10,15,390,TK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,76,10,43,326.8,RY,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,70,10,12,84,RY,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,73,10,43,313.9,RY,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,72,10,12,86.4,RY,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,94,10,43,404.2,RY,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,236,10,10,236,RY,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,354,10,15,531,RY,nsfcut,cut,row,
8/5/2021,2,LAUR,cosmos,1,170,10,15,255,RY,nsfcut,cut,row,
8/5/2021,2,LAUR,cosmos,1,206,10,15,309,RY,nsfcut,cut,row,
8/5/2021,2,LAUR,cosmos,1,135,10,10,135,RY,nsfcut,cut,row,
8/5/2021,2,LAUR,helichrysum,1,32,32,1,1,KT,nsfcut,cut,row,
8/5/2021,2,LAUR,helichrysum,1,70,70,2,2,KT,nsfcut,cut,row,
